Date,close,volume,sentiment_sector,sentiment_direct_PLX
2020-03-18,34.85,880510.0,0.2925112311107417,0.0
2020-03-19,33.19,510280.0,-0.23902148976922039,0.0
2020-03-20,33.61,381290.0,0.12750187385827302,0.0
2020-03-21,33.61,381290.0,-0.21990685102840257,0.0
2020-03-22,33.61,381290.0,-0.45203415071591735,0.0
2020-03-23,31.29,585750.0,-0.49065508099738514,0.0
2020-03-24,31.04,1147220.0,-0.14800761453807362,0.0
2020-03-25,33.19,469810.0,0.6969823550898582,0.0
2020-03-26,32.65,418920.0,0.2193122543394566,0.0
2020-03-27,32.7,713230.0,0.35421187710016966,0.0
2020-03-28,32.7,713230.0,-0.925115934573114,0.0
2020-03-29,32.7,713230.0,-0.44321775250136847,0.0
2020-03-30,31.21,728950.0,-0.5582938120700419,0.0
2020-03-31,31.82,383160.0,0.4036477129440755,0.0
2020-04-01,33.92,595360.0,0.6371517938096076,0.0
2020-04-02,33.92,595360.0,-0.16603041265625507,0.0
2020-04-03,34.79,851510.0,0.6688545513432473,0.0
2020-04-04,34.79,851510.0,0.2796262804418802,0.0
2020-04-05,34.79,851510.0,-0.3204933729333183,0.0
2020-04-06,34.96,1924660.0,0.4375779905822128,-0.8666253946721554
2020-04-07,33.87,1194700.0,0.0,0.0
2020-04-08,33.48,941540.0,-0.18062734763537128,0.0
2020-04-09,34.87,1936030.0,-0.23366396334022282,0.0
2020-04-10,35.53,1638300.0,0.349835574394092,0.0
2020-04-11,35.53,1638300.0,0.0,0.0
2020-04-12,35.53,1638300.0,0.6920447889715433,0.0
2020-04-13,35.18,1328310.0,0.6111594075337052,0.0
2020-04-14,34.53,1122090.0,0.37331052187697156,0.0
2020-04-15,34.79,1210150.0,0.6944129542292407,0.0
2020-04-16,35.75,1953570.0,0.3141787303611636,0.0
2020-04-17,36.1,1594470.0,0.49905751040205365,0.0
2020-04-18,36.1,1594470.0,0.30218045103053265,0.0
2020-04-19,36.1,1594470.0,0.246185452863574,0.0
2020-04-20,38.27,2466850.0,0.1779267355385754,0.0
2020-04-21,35.62,2649020.0,0.0,0.0
2020-04-22,35.48,1125610.0,0.0,0.0
2020-04-23,35.48,1233190.0,0.0,0.0
2020-04-24,36.05,1094050.0,0.0,0.0
2020-04-25,36.05,1094050.0,0.0,0.0
2020-04-26,36.05,1094050.0,0.0,0.0
2020-04-27,35.05,1102230.0,0.0,0.0
2020-04-28,34.61,1226410.0,0.0,0.0
2020-04-29,35.14,707440.0,0.6066321898251773,0.0
2020-04-30,35.14,707440.0,0.7260098289698363,0.0
2020-05-01,35.14,707440.0,-0.6160486126318574,-0.9780399575829506
2020-05-02,35.14,707440.0,-0.05112495748326179,0.0
2020-05-03,35.14,707440.0,0.2573537528514862,0.0
2020-05-04,34.96,883050.0,0.018596143170725582,-0.9802379035390913
2020-05-05,35.22,545090.0,0.08203696078536188,0.0
2020-05-06,36.57,1700870.0,0.3763450703583658,0.0
